"","Popular_Product","Predicted_Product","Frequency"
"1",1,"1",67
"2",2,"1",4
"3",3,"1",0
"4",4,"1",0
"5",5,"1",0
"6",6,"1",0
"7",7,"1",1
"8",8,"1",0
"9",9,"1",0
"10",10,"1",0
"11",11,"1",1
"12",12,"1",0
"13",13,"1",0
"14",15,"1",5
"15",16,"1",0
"16",17,"1",0
"17",21,"1",0
"18",22,"1",0
"19",23,"1",0
"20",24,"1",1
"21",28,"1",0
"22",29,"1",16
"23",31,"1",0
"24",32,"1",12
"25",34,"1",0
"26",36,"1",37
"27",37,"1",5
"28",38,"1",0
"29",46,"1",0
"30",48,"1",0
"31",49,"1",0
"32",51,"1",0
"33",54,"1",0
"34",57,"1",0
"35",59,"1",1
"36",60,"1",0
"37",1,"2",0
"38",2,"2",0
"39",3,"2",0
"40",4,"2",0
"41",5,"2",0
"42",6,"2",0
"43",7,"2",0
"44",8,"2",0
"45",9,"2",0
"46",10,"2",0
"47",11,"2",0
"48",12,"2",0
"49",13,"2",0
"50",15,"2",0
"51",16,"2",0
"52",17,"2",0
"53",21,"2",0
"54",22,"2",0
"55",23,"2",0
"56",24,"2",0
"57",28,"2",0
"58",29,"2",0
"59",31,"2",0
"60",32,"2",0
"61",34,"2",0
"62",36,"2",0
"63",37,"2",0
"64",38,"2",0
"65",46,"2",0
"66",48,"2",0
"67",49,"2",0
"68",51,"2",0
"69",54,"2",0
"70",57,"2",0
"71",59,"2",0
"72",60,"2",0
"73",1,"3",0
"74",2,"3",0
"75",3,"3",0
"76",4,"3",0
"77",5,"3",0
"78",6,"3",0
"79",7,"3",0
"80",8,"3",0
"81",9,"3",0
"82",10,"3",0
"83",11,"3",0
"84",12,"3",0
"85",13,"3",0
"86",15,"3",0
"87",16,"3",0
"88",17,"3",0
"89",21,"3",0
"90",22,"3",0
"91",23,"3",0
"92",24,"3",0
"93",28,"3",0
"94",29,"3",0
"95",31,"3",0
"96",32,"3",0
"97",34,"3",0
"98",36,"3",0
"99",37,"3",0
"100",38,"3",0
"101",46,"3",0
"102",48,"3",0
"103",49,"3",0
"104",51,"3",0
"105",54,"3",0
"106",57,"3",0
"107",59,"3",0
"108",60,"3",0
"109",1,"4",0
"110",2,"4",0
"111",3,"4",0
"112",4,"4",0
"113",5,"4",0
"114",6,"4",0
"115",7,"4",0
"116",8,"4",0
"117",9,"4",0
"118",10,"4",0
"119",11,"4",0
"120",12,"4",0
"121",13,"4",0
"122",15,"4",0
"123",16,"4",0
"124",17,"4",0
"125",21,"4",0
"126",22,"4",0
"127",23,"4",0
"128",24,"4",0
"129",28,"4",0
"130",29,"4",0
"131",31,"4",0
"132",32,"4",0
"133",34,"4",0
"134",36,"4",0
"135",37,"4",0
"136",38,"4",0
"137",46,"4",0
"138",48,"4",0
"139",49,"4",0
"140",51,"4",0
"141",54,"4",0
"142",57,"4",0
"143",59,"4",0
"144",60,"4",0
"145",1,"5",0
"146",2,"5",0
"147",3,"5",0
"148",4,"5",0
"149",5,"5",0
"150",6,"5",0
"151",7,"5",0
"152",8,"5",0
"153",9,"5",0
"154",10,"5",0
"155",11,"5",0
"156",12,"5",0
"157",13,"5",0
"158",15,"5",0
"159",16,"5",0
"160",17,"5",0
"161",21,"5",0
"162",22,"5",0
"163",23,"5",0
"164",24,"5",0
"165",28,"5",0
"166",29,"5",0
"167",31,"5",0
"168",32,"5",0
"169",34,"5",0
"170",36,"5",0
"171",37,"5",0
"172",38,"5",0
"173",46,"5",0
"174",48,"5",0
"175",49,"5",0
"176",51,"5",0
"177",54,"5",0
"178",57,"5",0
"179",59,"5",0
"180",60,"5",0
"181",1,"6",0
"182",2,"6",0
"183",3,"6",0
"184",4,"6",0
"185",5,"6",0
"186",6,"6",0
"187",7,"6",0
"188",8,"6",0
"189",9,"6",0
"190",10,"6",0
"191",11,"6",0
"192",12,"6",0
"193",13,"6",0
"194",15,"6",0
"195",16,"6",0
"196",17,"6",0
"197",21,"6",0
"198",22,"6",0
"199",23,"6",0
"200",24,"6",0
"201",28,"6",0
"202",29,"6",0
"203",31,"6",0
"204",32,"6",0
"205",34,"6",0
"206",36,"6",0
"207",37,"6",0
"208",38,"6",0
"209",46,"6",0
"210",48,"6",0
"211",49,"6",0
"212",51,"6",0
"213",54,"6",0
"214",57,"6",0
"215",59,"6",0
"216",60,"6",0
"217",1,"7",0
"218",2,"7",0
"219",3,"7",0
"220",4,"7",0
"221",5,"7",0
"222",6,"7",0
"223",7,"7",0
"224",8,"7",0
"225",9,"7",0
"226",10,"7",0
"227",11,"7",0
"228",12,"7",0
"229",13,"7",0
"230",15,"7",0
"231",16,"7",0
"232",17,"7",0
"233",21,"7",0
"234",22,"7",0
"235",23,"7",0
"236",24,"7",0
"237",28,"7",0
"238",29,"7",0
"239",31,"7",0
"240",32,"7",0
"241",34,"7",0
"242",36,"7",0
"243",37,"7",0
"244",38,"7",0
"245",46,"7",0
"246",48,"7",0
"247",49,"7",0
"248",51,"7",0
"249",54,"7",0
"250",57,"7",0
"251",59,"7",0
"252",60,"7",0
"253",1,"8",3
"254",2,"8",0
"255",3,"8",0
"256",4,"8",0
"257",5,"8",0
"258",6,"8",0
"259",7,"8",0
"260",8,"8",81
"261",9,"8",0
"262",10,"8",5
"263",11,"8",0
"264",12,"8",0
"265",13,"8",0
"266",15,"8",0
"267",16,"8",0
"268",17,"8",0
"269",21,"8",0
"270",22,"8",0
"271",23,"8",0
"272",24,"8",1
"273",28,"8",0
"274",29,"8",2
"275",31,"8",0
"276",32,"8",0
"277",34,"8",0
"278",36,"8",8
"279",37,"8",0
"280",38,"8",0
"281",46,"8",0
"282",48,"8",0
"283",49,"8",0
"284",51,"8",0
"285",54,"8",0
"286",57,"8",0
"287",59,"8",0
"288",60,"8",0
"289",1,"9",0
"290",2,"9",0
"291",3,"9",0
"292",4,"9",0
"293",5,"9",0
"294",6,"9",0
"295",7,"9",0
"296",8,"9",0
"297",9,"9",0
"298",10,"9",0
"299",11,"9",0
"300",12,"9",0
"301",13,"9",0
"302",15,"9",0
"303",16,"9",0
"304",17,"9",0
"305",21,"9",0
"306",22,"9",0
"307",23,"9",0
"308",24,"9",0
"309",28,"9",0
"310",29,"9",0
"311",31,"9",0
"312",32,"9",0
"313",34,"9",0
"314",36,"9",0
"315",37,"9",0
"316",38,"9",0
"317",46,"9",0
"318",48,"9",0
"319",49,"9",0
"320",51,"9",0
"321",54,"9",0
"322",57,"9",0
"323",59,"9",0
"324",60,"9",0
"325",1,"10",3
"326",2,"10",1
"327",3,"10",0
"328",4,"10",0
"329",5,"10",0
"330",6,"10",0
"331",7,"10",0
"332",8,"10",0
"333",9,"10",0
"334",10,"10",4
"335",11,"10",0
"336",12,"10",0
"337",13,"10",1
"338",15,"10",1
"339",16,"10",0
