Popular_Product,Predicted_Product,Frequency
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
15,1,0
16,1,0
17,1,0
18,1,0
21,1,0
22,1,0
23,1,0
24,1,0
28,1,0
29,1,0
31,1,0
32,1,0
33,1,0
34,1,0
36,1,0
37,1,1
38,1,0
46,1,0
48,1,0
49,1,0
51,1,0
54,1,0
57,1,0
59,1,0
60,1,0
1,2,0
2,2,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
12,2,0
13,2,0
15,2,0
16,2,0
17,2,0
18,2,0
21,2,0
22,2,0
23,2,0
24,2,0
28,2,0
29,2,0
31,2,0
32,2,0
33,2,0
34,2,0
36,2,0
37,2,0
38,2,0
46,2,0
48,2,0
49,2,0
51,2,0
54,2,0
57,2,0
59,2,0
60,2,0
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
15,3,0
16,3,0
17,3,0
18,3,0
21,3,0
22,3,0
23,3,0
24,3,0
28,3,0
29,3,0
31,3,0
32,3,0
33,3,0
34,3,0
36,3,0
37,3,0
38,3,0
46,3,0
48,3,0
49,3,0
51,3,0
54,3,0
57,3,0
59,3,0
60,3,0
1,4,0
2,4,0
3,4,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,0
15,4,0
16,4,0
17,4,0
18,4,0
21,4,0
22,4,0
23,4,0
24,4,0
28,4,0
29,4,0
31,4,0
32,4,0
33,4,0
34,4,0
36,4,0
37,4,0
38,4,0
46,4,0
48,4,0
49,4,0
51,4,0
54,4,0
57,4,0
59,4,0
60,4,0
1,5,0
2,5,0
3,5,0
4,5,0
5,5,0
6,5,0
7,5,0
8,5,0
9,5,0
10,5,0
11,5,0
12,5,0
13,5,0
15,5,0
16,5,0
17,5,0
18,5,0
21,5,0
22,5,0
23,5,0
24,5,0
28,5,0
29,5,0
31,5,0
32,5,0
33,5,0
34,5,0
36,5,0
37,5,0
38,5,0
46,5,0
48,5,0
49,5,0
51,5,0
54,5,0
57,5,0
59,5,0
60,5,0
1,6,0
2,6,0
3,6,0
4,6,0
5,6,0
6,6,0
7,6,0
8,6,0
9,6,0
10,6,0
