publication,year,endorsed,Party,City,Latitude,Longitude,Circulation,source,source2,notes
Akron Beacon Journal,1980,Carter,Democrat,"Akron, OH",41.0814447,-81.5190053,0,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Arizona Daily Star,1980,Carter,Democrat,"Tucson, AZ",32.2217429,-110.926479,0,,,Provided by the Pima County Public Library
Atlanta Journal-Constitution,1980,Carter,Democrat,"Atlanta, GA",33.7489954,-84.3879824,"174,587","https://news.google.com/newspapers?nid=1697&dat=19761026&id=1iQqAAAAIBAJ&sjid=3EYEAAAAIBAJ&pg=5486,4025894&hl=en","""Vote Tuesday."" Atlanta Journal. Nov 3, 1980. p 4A.",Atlanta Journal and Atlanta Constitution both endorsed Carter
Baltimore Sun,1980,Carter,Democrat,"Baltimore, MD",39.2903848,-76.6121893,"123,497",http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Charlotte Observer,1980,Carter,Democrat,"Charlotte, NC",35.2270869,-80.8431267,"126,920","Email from Taylor Batten, Editorial Page Editor of the Observer",,
Chicago Sun-Times,1980,Carter,Democrat,"Chicago, IL",41.8781136,-87.6297982,"189,216",http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Daily Herald (Illinois),1980,Carter,Democrat,"Arlington Heights, IL",42.0883603,-87.9806265,0,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Dayton Daily News,1980,Carter,Democrat,"Dayton, OH",39.7589478,-84.1916069,"109,343","Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Daytona Beach News-Journal,1980,Carter,Democrat,"Daytona Beach, FL",29.2108147,-81.0228331,0,http://www.upi.com/Archives/1980/10/29/The-Daytona-Beach-Fla-Journal-endorsed-President-Carter-but/3242341643600/,"Email from Mark Lane, Daytona Beach News-Journal Columnist","Before merging in 1986, the Daytona Morning Journal and Daytona Evening News were published separately but with a shared editorial board, endorsements were generally published in the joint Sunday News-Journal"
Des Moines Register,1980,Carter,Democrat,"Des Moines, IA",41.6005448,-93.6091064,"93,014",http://www.upi.com/Archives/1980/11/03/Ronald-Reagan-got-most-of-the-new-newspaper-endorsements/6748342075600/,,
Detroit Free Press,1980,Carter,Democrat,"Detroit, MI",42.331427,-83.0457538,"197,057",http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Fresno Bee,1980,Carter,Democrat,"Fresno, CA",36.7468422,-119.7725868,"71,177","https://news.google.com/newspapers?nid=1955&dat=19801102&id=W_chAAAAIBAJ&sjid=FKEFAAAAIBAJ&pg=4337,407405&hl=en",,
Grand Rapids Press,1980,Carter,Democrat,"Grand Rapids, MI",42.9633599,-85.6680863,0,"https://news.google.com/newspapers?nid=1988&dat=19801103&id=_FAiAAAAIBAJ&sjid=3awFAAAAIBAJ&pg=3310,93969",,
Kansas City Star,1980,Carter,Democrat,"Kansas City, MO",39.0997265,-94.5785667,"181,167",http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Louisville Courier-Journal,1980,Carter,Democrat,"Louisville, KY",38.2526647,-85.7584557,"109,060",http://files.eric.ed.gov/fulltext/ED258236.pdf,,
Modesto Bee,1980,Carter,Democrat,"Modesto, CA",37.6390972,-120.9968782,0,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
New York Times,1980,Carter,Democrat,"New York, NY",40.7127837,-74.0059413,"2,203,372",http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Newark Star-Ledger,1980,Carter,Democrat,"Newark, NJ",40.735657,-74.1723667,"266,339",http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Palm Beach Post,1980,Carter,Democrat,"Palm Beach, FL",26.7056206,-80.0364297,"95,556","Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,"Listed as ""West Palm Beach Post"""
Philadelphia Inquirer,1980,Carter,Democrat,"Philadelphia, PA",39.9525839,-75.1652215,"258,127",http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Pittsburgh Post-Gazette,1980,Carter,Democrat,"Pittsburgh, PA",40.4406248,-79.9958864,"160,228","https://news.google.com/newspapers?nid=1955&dat=19801102&id=W_chAAAAIBAJ&sjid=FKEFAAAAIBAJ&pg=4337,407405&hl=en",,
Raleigh News & Observer,1980,Carter,Democrat,"Raleigh, NC",35.7795897,-78.6381787,"118,295","Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Sacramento Bee,1980,Carter,Democrat,"Sacramento, CA",38.5815719,-121.4943996,"155,149",http://www.upi.com/Archives/1980/10/09/The-Sacramento-Bee-today-endorsed-President-Carter-for-re-electionThe/4715339912000/,,
St. Louis Post-Dispatch,1980,Carter,Democrat,"St. Louis, MO",38.6270025,-90.1994042,"151,023","https://news.google.com/newspapers?nid=1955&dat=19801102&id=W_chAAAAIBAJ&sjid=FKEFAAAAIBAJ&pg=4337,407405&hl=en",,
Tampa Bay Times,1980,Carter,Democrat,"Tampa, FL",27.950575,-82.4571776,"210,396",http://www.upi.com/Archives/1980/10/27/With-the-presidential-campaign-heading-into-its-final-week/2612341470800/,,As St. Petersburg Times
Tennessean,1980,Carter,Democrat,"Nashville, TN",36.1626638,-86.7816016,"84,716","""Mr. Carter Is Clear Choice, And Should Be Re-Elected."" Tennessean. Oct 19, 1980. p. 4B.",,
Washington Post,1980,Carter,Democrat,"Washington, DC",38.9071923,-77.0368707,"389,154",http://www.upi.com/Archives/1980/10/30/The-Washington-Post-endorsed-President-Carter-in-its-Friday/3970341730000/,,
Wilmington News Journal,1980,Carter,Democrat,"Wilmington, DE",39.7390721,-75.5397878,0,"""For president, Jimmy Carter."" Wilmington News Journal. Nov 2, 1980. p. H-2.",,
Akron Beacon Journal,1984,Mondale,Democrat,"Akron, OH",41.0814447,-81.5190053,0,http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
Arizona Daily Star,1984,Mondale,Democrat,"Tucson, AZ",32.2217429,-110.926479,0,,,Provided by the Pima County Public Library
Austin American-Statesman,1984,Mondale,Democrat,"Austin, TX",30.267153,-97.7430608,"101,200","Associated Press. Nov 4, 1984.",,
Bergen Record,1984,Mondale,Democrat,"Hackensack, NJ",40.8859325,-74.0434736,"133,897","Associated Press. Nov 4, 1984.",,
Boston Globe,1984,Mondale,Democrat,"Boston, MA",42.3600825,-71.0588801,"239,550",http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Charlotte Observer,1984,Mondale,Democrat,"Charlotte, NC",35.2270869,-80.8431267,"126,920",http://www.upi.com/Archives/1984/11/04/Several-US-newspapers-waited-until-the-Sunday-before-Election/7137468392400/,,
Dayton Daily News,1984,Mondale,Democrat,"Dayton, OH",39.7589478,-84.1916069,"109,343","Associated Press. Nov 4, 1984.",,
Daytona Beach News-Journal,1984,Mondale,Democrat,"Daytona Beach, FL",29.2108147,-81.0228331,0,"Associated Press. Nov 5, 1984.","Email from Mark Lane, Daytona Beach News-Journal Columnist","Before merging in 1986, the Daytona Morning Journal and Daytona Evening News were published separately but with a shared editorial board, endorsements were generally published in the joint Sunday News-Journal"
Des Moines Register,1984,Mondale,Democrat,"Des Moines, IA",41.6005448,-93.6091064,"93,014","""Mondale for President."" Des Moines Register. Nov 4, 1984. p. C1.",,
Detroit Free Press,1984,Mondale,Democrat,"Detroit, MI",42.331427,-83.0457538,"197,057",http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
Fresno Bee,1984,Mondale,Democrat,"Fresno, CA",36.7468422,-119.7725868,"71,177","Email from Bill McEwen, Fresno Bee Editorial Page Editor",,
